name,leadership_role,phone,email,period,source_url,observed_at
Carlos Muniz,Presidente,71 3320-0108,carlosmuniz@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Maurício Trindade,1º Vice-presidente,71 3320-0311,mauriciotrindade@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Duda Sanches,2º Vice-presidente,71 3320-0201,dudasanches@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Sidninho,3º Vice-presidente,71 3320-0115,sidninho@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Cláudio Tinoco,1º Secretário,71 3320-0222,claudiotinoco@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Ricardo Almeida,2º Secretário,71 3320-0499,ricardoalmeida@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Cris Correia,3ª Secretária,71 3320-0209,assessoriacriscorreia@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Kel Torres,4º Secretário,71 3320-0444,keltorres@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Hélio Ferreira,Ouvidor,3320-0353,helioferreira@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Anderson Ninho,Ouvidor Substituto,3320-0390,andersonninho@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Alexandre Aleluia,Corregedor,71 3320-0111,aleluia@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Randerson Leal,1º Vice-presidente suplente,71 3320-0295,randersonleal@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Marcelo Guimarães Neto,1º Secretário suplente,71 3320-0205,imprensa.cms@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
Ireuda Silva,2ª Vice-presidente suplente,71 3320-0330,ireudasilva@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
David Rios,2º Secretário suplente,3320-0205,davidrios@cms.ba.gov.br,2025-2026,https://www.cms.ba.gov.br/mesa-diretora,2026-08-17
