name,office,party,legislature,source_url,observed_at
Aladilce Souza,Vereador(a),PCdoB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Alex Alemão,Vereador(a),DC,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Alexandre Aleluia,Vereador(a),Novo,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Anderson Ninho,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
André Fraga,Vereador(a),PV,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Beca,Vereador(a),Republicanos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Carlos Muniz,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Cezar Leite,Vereador(a),PL,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Claudio Tinoco,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Cris Correia,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Daniel Alves,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
David Rios,Vereador(a),MDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Débora Santana,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Dr. José Antonio,Vereador(a),PRD,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Duda Sanches,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Eliete Paraguassu,Vereador(a),PSOL,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Fábio Souza,Vereador(a),PRD,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Felipe Santana,Vereador(a),PSD,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Hamilton Assis,Vereador(a),PSOL,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Helio Ferreira,Vereador(a),PCdoB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Ireuda Silva,Vereador(a),Republicanos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Isabela Sousa,Vereador(a),Cidadania,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
João Cláudio Bacelar,Vereador(a),Podemos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Kel Torres,Vereador(a),Republicanos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Kiki Bispo,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Luiz Carlos,Vereador(a),Republicanos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Marcelle Moraes,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Marcelo Guimarães Neto,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Marta Rodrigues,Vereador(a),PT,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Maurício Trindade,Vereador(a),PP,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Omarzinho Gordilho,Vereador(a),PDT,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Orlando Palhinha,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Paulo Magalhães Júnior,Vereador(a),União,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Randerson Leal,Vereador(a),Podemos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Ricardo Almeida,Vereador(a),DC,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Roberta Caires,Vereador(a),Republicanos,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Rodrigo Amaral,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Sandro Bahiense,Vereador(a),PP,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Sandro Filho,Vereador(a),PP,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Sidninho,Vereador(a),PP,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Sílvio Humberto,Vereador(a),PSB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Téo Senna,Vereador(a),PSDB,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
Tiago Queiroz,Vereador(a),PP,20ª Legislatura (2025-2028),https://www.cms.ba.gov.br/vereadores,2026-08-17
